"name","card","date","amount","merchant","category"
"Beth Hernandez","3581345943543942","2018-01-08 02:34:32",1029,"Hood-Phillips","bar"
"Beth Hernandez","3581345943543942","2018-02-27 15:27:32",1145,"Vasquez-Parker","bar"
"Beth Hernandez","3581345943543942","2018-03-09 04:51:38",389,"Lowe PLC","restaurant"
"Beth Hernandez","3581345943543942","2018-04-21 19:41:51",2108,"Brown, Estrada and Powers","coffee shop"
"Beth Hernandez","3581345943543942","2018-07-03 14:56:36",1398,"Russell-Thomas","restaurant"
"Beth Hernandez","3581345943543942","2018-07-24 22:42:00",1108,"Jarvis-Turner","pub"
"Beth Hernandez","3581345943543942","2018-08-05 01:06:38",1379,"Hood-Phillips","bar"
"Beth Hernandez","3581345943543942","2018-09-02 06:17:00",2001.0000000000002,"Romero-Jordan","food truck"
"Beth Hernandez","3581345943543942","2018-09-11 15:16:47",1855.9999999999998,"Mccullough-Murphy","food truck"
"Beth Hernandez","3581345943543942","2018-11-27 17:20:29",1279,"Jenkins, Peterson and Beck","restaurant"
"Crystal Clark","5570600642865857","2018-01-11 13:20:31",229,"Williams Inc","pub"
"Crystal Clark","5570600642865857","2018-02-17 01:27:19",1430,"Greene LLC","restaurant"
"Crystal Clark","5570600642865857","2018-05-29 02:55:08",1203,"Cooper, Carpenter and Jackson","food truck"
"Crystal Clark","5570600642865857","2018-06-17 15:59:45",1103,"Wilson, Roberts and Davenport","food truck"
"Crystal Clark","5570600642865857","2018-07-04 17:28:06",89,"Greer Inc","bar"
"Crystal Clark","5570600642865857","2018-07-26 23:02:51",1803,"Ramirez-Carr","coffee shop"
"Crystal Clark","5570600642865857","2018-10-19 12:32:37",178,"Hess-Fischer","food truck"
"Crystal Clark","5570600642865857","2018-10-23 22:47:13",393,"Huerta, Keith and Walters","food truck"
"Crystal Clark","5570600642865857","2018-11-13 17:07:25",1911,"Brown, Ballard and Glass","restaurant"
"Crystal Clark","5570600642865857","2018-12-03 02:38:52",1014,"Cline, Myers and Strong","restaurant"
"Crystal Clark","5570600642865857","2018-12-24 15:55:06",1634,"Gomez-Kelly","pub"
"Elizabeth Sawyer","30078299053512","2018-03-01 21:29:05",1119,"Santos-Fitzgerald","pub"
"Elizabeth Sawyer","30078299053512","2018-07-11 16:55:22",1159,"Rowe-Abbott","pub"
"Elizabeth Sawyer","30078299053512","2018-07-14 06:09:18",1160,"Martinez-Robinson","bar"
"Elizabeth Sawyer","30078299053512","2018-08-21 20:46:33",188,"Greene LLC","restaurant"
"Elizabeth Sawyer","30078299053512","2018-09-09 03:39:06",626,"Jacobs, Torres and Walker","bar"
"Elizabeth Sawyer","30078299053512","2018-10-07 14:40:34",757,"Colon Ltd","bar"
"Elizabeth Sawyer","30078299053512","2018-10-11 23:29:33",206,"Walker, Deleon and Wolf","restaurant"
"Elizabeth Sawyer","30078299053512","2018-10-19 01:07:37",1053,"Herrera Group","restaurant"
"Elizabeth Sawyer","30078299053512","2018-11-20 05:24:28",1054,"Dalton, Cameron and Jones","bar"
"Elizabeth Sawyer","30078299053512","2018-12-28 16:20:31",313,"Bell, Gonzalez and Lowe","pub"
"Gary Jacobs","5175947111814778","2018-11-22 20:42:00",23.04,"Allen, Ramos and Carroll","pub"
"John Martin","5135837688671496","2018-11-08 02:10:03",22.78,"Ruiz-Anderson","pub"
"Laurie Gibbs","30181963913340","2018-03-04 15:50:53",1534,"Maldonado Group","coffee shop"
"Laurie Gibbs","30181963913340","2018-04-11 02:50:37",325,"Velazquez Ltd","pub"
"Laurie Gibbs","30181963913340","2018-05-30 12:34:04",245.00000000000003,"Garcia and Sons","pub"
"Laurie Gibbs","30181963913340","2018-06-10 04:54:27",1795,"Velazquez Ltd","pub"
"Laurie Gibbs","30181963913340","2018-06-17 02:45:49",691,"White-Hall","bar"
"Laurie Gibbs","30181963913340","2018-07-13 19:47:49",267,"Miller-Blevins","pub"
"Laurie Gibbs","30181963913340","2018-09-25 23:23:21",1095,"Cooper, Carpenter and Jackson","food truck"
"Laurie Gibbs","30181963913340","2018-10-07 18:29:20",1179,"Carter-Blackwell","pub"
"Laurie Gibbs","30181963913340","2018-12-05 19:24:27",56.99999999999999,"Perry and Sons","bar"
"Laurie Gibbs","30181963913340","2018-12-19 16:10:03",1723.9999999999998,"Garcia and Sons","pub"
"Malik Carlson","344119623920892","2018-01-07 01:10:54",175,"Bell, Gonzalez and Lowe","pub"
"Malik Carlson","344119623920892","2018-01-08 11:15:36",333,"Baxter-Smith","restaurant"
"Malik Carlson","344119623920892","2018-02-19 22:48:25",1839,"Baxter-Smith","restaurant"
"Malik Carlson","344119623920892","2018-04-03 03:23:37",1077,"Townsend-Anderson","restaurant"
"Malik Carlson","344119623920892","2018-06-03 20:02:28",1814,"Boone, Davis and Townsend","pub"
"Malik Carlson","344119623920892","2018-06-30 01:56:19",121,"Kim-Lopez","coffee shop"
"Malik Carlson","344119623920892","2018-07-06 16:12:08",117,"Cooper, Carpenter and Jackson","food truck"
"Malik Carlson","344119623920892","2018-09-02 11:20:42",458,"Herrera Group","restaurant"
"Malik Carlson","344119623920892","2018-09-10 22:49:41",1176,"Lopez-Kelly","restaurant"
"Malik Carlson","344119623920892","2018-11-17 05:30:43",1769.0000000000002,"Romero-Jordan","food truck"
"Malik Carlson","344119623920892","2018-12-13 12:09:58",1154,"Russell-Thomas","restaurant"
"Megan Price","501879657465","2018-01-02 23:27:46",1031,"Baxter-Smith","restaurant"
"Megan Price","501879657465","2018-01-23 06:29:37",1678,"Garcia-White","pub"
"Megan Price","501879657465","2018-03-12 00:44:01",1530,"Kim-Lopez","coffee shop"
"Megan Price","501879657465","2018-03-20 10:19:25",852,"Jarvis-Turner","pub"
"Megan Price","501879657465","2018-06-21 13:16:25",1102,"Pitts, Salinas and Garcia","coffee shop"
"Megan Price","501879657465","2018-06-27 01:27:09",1592,"Martinez-Robinson","bar"
"Megan Price","501879657465","2018-06-28 21:13:52",1108,"Jarvis-Turner","pub"
"Megan Price","501879657465","2018-09-23 19:20:23",1075,"Giles and Sons","pub"
"Megan Price","501879657465","2018-11-25 20:44:07",1123,"Williams Group","bar"
"Megan Price","501879657465","2018-11-27 15:36:05",1802,"White-Hall","bar"
"Nancy Contreras","4319653513507","2018-01-30 18:31:00",1177,"Cline, Myers and Strong","restaurant"
"Nancy Contreras","4319653513507","2018-04-08 06:03:50",1063,"Bryant, Thomas and Collins","pub"
"Nancy Contreras","4319653513507","2018-04-09 18:28:25",269,"Hamilton-Mcfarland","restaurant"
"Nancy Contreras","4319653513507","2018-05-13 06:31:20",1046,"Baker Inc","food truck"
"Nancy Contreras","4319653513507","2018-06-04 03:46:15",1162,"Johnson-Fuller","pub"
"Nancy Contreras","4319653513507","2018-06-06 21:50:17",749,"Hamilton-Mcfarland","restaurant"
"Nancy Contreras","4319653513507","2018-06-22 06:16:50",1813,"Cox, Montgomery and Morgan","bar"
"Nancy Contreras","4319653513507","2018-08-16 10:01:00",1001,"Vega, Jones and Castro","food truck"
"Nancy Contreras","4319653513507","2018-10-28 02:12:58",137,"Bryant, Thomas and Collins","pub"
"Nancy Contreras","4319653513507","2018-12-18 13:33:37",1074,"Maxwell, Tapia and Villanueva","coffee shop"
"Robert Johnson","4761049645711555811","2018-01-24 13:17:19",1691,"Osborne-Page","coffee shop"
"Robert Johnson","4761049645711555811","2018-04-09 10:24:32",283,"Johnson-Watts","restaurant"
"Robert Johnson","4761049645711555811","2018-07-31 05:15:17",1302,"Padilla-Clements","coffee shop"
"Robert Johnson","4761049645711555811","2018-09-04 01:35:39",1789.9999999999998,"Wallace and Sons","coffee shop"
"Robert Johnson","4761049645711555811","2018-09-06 21:55:02",1056,"Hamilton-Mcfarland","restaurant"
"Robert Johnson","4761049645711555811","2018-10-16 13:27:33",484,"Thomas-Garcia","food truck"
"Robert Johnson","4761049645711555811","2018-11-26 20:54:39",267,"Rodgers, Johnston and Macias","food truck"
"Robert Johnson","4761049645711555811","2018-11-27 17:27:34",1660.0000000000002,"Browning-Cantu","pub"
"Robert Johnson","4761049645711555811","2018-12-30 23:23:09",1033,"Thornton-Williams","pub"
"Sean Taylor","3516952396080247","2018-01-04 03:05:18",1685.0000000000002,"Kelly, Dyer and Schmitt","food truck"
"Sean Taylor","3516952396080247","2018-02-09 11:38:37",445,"Greer Inc","bar"
"Sean Taylor","3516952396080247","2018-02-19 16:00:43",1072,"Davis, Lowe and Baxter","food truck"
"Sean Taylor","3516952396080247","2018-04-10 06:08:01",543,"Reed Group","food truck"
"Sean Taylor","3516952396080247","2018-04-18 23:23:29",1086,"Smith-Stephens","coffee shop"
"Sean Taylor","3516952396080247","2018-05-19 19:33:38",160,"Rodgers, Johnston and Macias","food truck"
"Sean Taylor","3516952396080247","2018-07-17 10:11:12",233,"Colon Ltd","bar"
"Sean Taylor","3516952396080247","2018-08-07 11:07:32",1449,"Richardson, Smith and Jordan","food truck"
"Sean Taylor","3516952396080247","2018-12-13 15:51:59",2249,"Solis Group","food truck"
