"name","card","date","amount","merchant","category"
"Beth Hernandez","3581345943543942","2018-12-16 08:41:53",16.35,"Richardson, Smith and Jordan","food truck"
"Beth Hernandez","4159836738768855913","2018-05-20 08:36:46",17.48,"Martin Inc","restaurant"
"Brandon Pineda","180098539019105","2018-01-18 08:58:13",17.53,"Garcia PLC","food truck"
"Brandon Pineda","180098539019105","2018-02-05 08:37:24",17.85,"Murphy, Heath and Fields","restaurant"
"Brandon Pineda","180098539019105","2018-06-01 08:56:59",19.33,"Lee LLC","restaurant"
"Brandon Pineda","180098539019105","2018-08-08 08:36:23",12.52,"Ferguson Ltd","coffee shop"
"Brandon Pineda","4027907156459098","2018-05-04 08:21:59",11.65,"Bryant, Thomas and Collins","pub"
"Crystal Clark","503842928916","2018-06-26 08:00:22",15.94,"Wood-Ramirez","bar"
"Crystal Clark","503842928916","2018-10-29 07:18:34",16.85,"Williams, Wright and Wagner","coffee shop"
"Crystal Clark","5500708021555307","2018-03-26 08:08:27",19.34,"Johnson-Fuller","pub"
"Crystal Clark","5500708021555307","2018-09-15 08:33:49",11.72,"Pitts, Salinas and Garcia","coffee shop"
"Crystal Clark","5500708021555307","2018-10-18 07:16:04",19.86,"Johnson-Fuller","pub"
"Crystal Clark","5570600642865857","2018-01-22 08:07:03",1131,"Walker, Deleon and Wolf","restaurant"
"Crystal Clark","5570600642865857","2018-03-05 08:26:08",1617.0000000000002,"Mccarty-Thomas","bar"
"Dana Washington","4279104135293225293","2018-06-13 08:46:29",17.56,"Walters-Ward","restaurant"
"Dana Washington","4279104135293225293","2018-12-18 07:45:28",11.7,"Kelly, Dyer and Schmitt","food truck"
"Danielle Green","584226564303","2018-05-03 07:20:28",16.64,"Robles Inc","bar"
"Danielle Green","584226564303","2018-06-04 08:30:28",19.49,"Reed Group","food truck"
"Danielle Green","584226564303","2018-08-30 08:46:49",11.86,"Perry and Sons","bar"
"Elizabeth Sawyer","30078299053512","2018-01-16 08:02:04",17.36,"Ferguson Ltd","coffee shop"
"Gary Jacobs","5175947111814778","2018-06-24 07:28:48",18.6,"Little-Floyd","pub"
"John Martin","3561954487988605","2018-01-06 07:00:32",18.35,"Lowe PLC","restaurant"
"John Martin","3561954487988605","2018-04-08 07:06:20",11.73,"Solis Group","food truck"
"John Martin","4711773125020499","2018-10-22 07:41:56",13.83,"Sweeney-Paul","coffee shop"
"John Martin","4711773125020499","2018-12-28 07:02:38",17.13,"Johnson-Fuller","pub"
"John Martin","5135837688671496","2018-02-25 07:37:03",11.68,"Rowe-Abbott","pub"
"John Martin","5135837688671496","2018-04-11 08:26:52",16.07,"Combs-Jones","food truck"
"John Martin","5135837688671496","2018-06-10 08:20:40",15.05,"Williams, Wright and Wagner","coffee shop"
"Kevin Spencer","3535651398328201","2018-01-06 08:42:50",18.72,"Lowe PLC","restaurant"
"Kevin Spencer","3535651398328201","2018-02-25 07:55:21",18.14,"Wallace and Sons","coffee shop"
"Kevin Spencer","3535651398328201","2018-06-02 07:44:39",17.47,"Smith PLC","bar"
"Kevin Spencer","3535651398328201","2018-09-06 08:35:35",15.98,"Colon Ltd","bar"
"Kevin Spencer","4506405265172173","2018-08-26 07:15:18",23.13,"Marshall-Lopez","food truck"
"Kevin Spencer","4586962917519654607","2018-02-26 07:31:20",13.46,"Robertson-Smith","pub"
"Kevin Spencer","4586962917519654607","2018-07-17 08:10:36",16.21,"Solis Group","food truck"
"Kevin Spencer","4586962917519654607","2018-10-07 08:16:54",20.44,"Kelley-Roberts","food truck"
"Kyle Tucker","4723783028106084756","2018-09-23 07:30:56",19.02,"Bond, Lewis and Rangel","restaurant"
"Kyle Tucker","6500236164848279","2018-01-27 08:36:58",15.15,"Greene LLC","restaurant"
"Kyle Tucker","6500236164848279","2018-04-24 07:41:49",14.3,"Marshall-Lopez","food truck"
"Kyle Tucker","6500236164848279","2018-05-01 07:40:00",12.98,"Martinez-Robinson","bar"
"Laurie Gibbs","30181963913340","2018-03-26 07:41:59",1009,"Padilla-Clements","coffee shop"
"Malik Carlson","344119623920892","2018-02-18 08:54:19",18.3,"Dominguez PLC","food truck"
"Malik Carlson","4498002758300","2018-01-17 07:31:03",12.67,"Kelley-Roberts","food truck"
"Malik Carlson","4498002758300","2018-06-10 07:55:27",16.16,"Herrera Group","restaurant"
"Malik Carlson","4498002758300","2018-08-14 08:38:49",18.54,"Johnson, Rivas and Anderson","restaurant"
"Malik Carlson","4498002758300","2018-12-29 08:11:55",12.25,"Wilson and Sons","restaurant"
"Mark Lewis","4150721559116778","2018-04-09 07:08:11",17.73,"Richardson, Smith and Jordan","food truck"
"Mark Lewis","4150721559116778","2018-06-02 07:45:48",18.76,"Walker, Campbell and Sullivan","food truck"
"Mark Lewis","4150721559116778","2018-09-02 07:36:42",17.8,"Carter-Blackwell","pub"
"Mark Lewis","4150721559116778","2018-10-27 08:04:44",12.98,"Sanders, Parks and Mcfarland","coffee shop"
"Mark Lewis","4188164051171486","2018-06-09 07:29:28",18.82,"Allen, Ramos and Carroll","pub"
"Mark Lewis","4188164051171486","2018-10-30 07:08:04",15.94,"Vaughn, Wilson and Hall","restaurant"
"Mark Lewis","4188164051171486","2018-12-31 08:22:17",11.87,"Berry-Lopez","restaurant"
"Mark Lewis","4741042733274","2018-01-14 07:33:54",15.21,"Robertson-Smith","pub"
